position,archetype,equation,r2,n
QB,Field General - QB,OVR = -89.5 + 0.20×Awareness + 0.02×BCV + 0.05×Break Sack - 0.04×Impact Block - 0.04×Kick Return + 0.01×RBF + 0.03×Tackle + 0.14×TH Acc Deep + 0.43×TH Acc Mid + 0.33×TH Acc Short + 0.18×TH On Run + 0.51×TH Power + 0.10×TH Under Press,0.9925,66
QB,Improviser - QB,OVR = -86.4 + 0.11×Jumping - 0.01×Kick Accuracy + 0.25×TH Acc Short + 0.64×TH On Run + 0.29×TH Power + 0.40×TH Under Press + 0.22×Toughness,1.0,10
QB,Strong Arm - QB,OVR = -78.1 + 0.13×Awareness + 0.11×BCV + 0.16×Break Sack + 0.01×Carrying + 0.06×COD - 0.01×Injury - 0.01×Press + 0.07×Speed - 0.02×Spin Move + 0.08×TH Acc Deep + 0.33×TH Acc Mid + 0.16×TH Acc Short + 0.16×TH On Run + 0.45×TH Power + 0.11×TH Under Press,0.9978,33
WR,Deep Threat - WR,OVR = -77.1 + 0.16×Accel + 0.14×Agility + 0.12×Awareness + 0.05×BCV - 0.03×Carrying + 0.19×Catching + 0.14×CIT - 0.02×Hit Power + 0.15×Juke Move + 0.04×Jumping + 0.02×Lead Block + 0.01×PBF + 0.01×Play Action - 0.02×Press + 0.10×Release + 0.05×Deep Route + 0.24×Med Route + 0.06×Short Route - 0.02×Run Block + 0.13×Spec Catch + 0.28×Speed + 0.03×Zone Coverage,0.987,197
WR,Slot - WR,OVR = -78.5 + 0.17×Accel + 0.24×Agility + 0.16×Awareness + 0.02×Break Sack + 0.13×Break Tackle - 0.01×Carrying + 0.22×Catching + 0.01×COD + 0.17×CIT - 0.03×Impact Block + 0.11×Juke Move + 0.02×Jumping - 0.01×Kick Accuracy + 0.04×Lead Block - 0.01×PBF - 0.02×Power Moves + 0.01×Press + 0.06×Release + 0.01×Deep Route + 0.11×Med Route + 0.22×Short Route + 0.02×RBP - 0.01×Run Block + 0.09×Spec Catch + 0.16×Speed - 0.01×Strength,0.9954,81
TE,Blocking - TE,OVR = -56.1 + 1.57×Awareness + 0.28×Break Tackle + 0.19×Man Coverage + 0.01×Speed,1.0,3
TE,Possession - TE,OVR = -74.0 + 0.07×Accel + 0.08×Agility + 0.19×Awareness + 0.02×BCV + 0.04×Break Tackle + 0.21×Catching + 0.31×CIT + 0.05×Impact Block + 0.02×Jumping + 0.06×Lead Block + 0.02×PBF + 0.05×PBP + 0.07×Pass Block + 0.03×Release + 0.05×Deep Route + 0.11×Med Route + 0.22×Short Route + 0.10×RBF + 0.06×RBP + 0.13×Run Block + 0.04×Speed + 0.06×Stiff Arm + 0.05×Strength,0.9991,66
TE,Vertical Threat - TE,OVR = -80.9 + 0.15×Accel + 0.09×Agility + 0.20×Awareness + 0.03×BCV + 0.04×Break Tackle + 0.24×Catching + 0.03×COD + 0.18×CIT + 0.01×Impact Block + 0.05×Jumping + 0.02×PBF + 0.06×PBP + 0.01×Pass Block + 0.01×Press + 0.07×Release + 0.07×Deep Route + 0.25×Med Route + 0.07×Short Route + 0.07×RBF + 0.03×RBP + 0.09×Run Block + 0.06×Spec Catch + 0.17×Speed + 0.01×Spin Move + 0.03×Stamina + 0.02×Stiff Arm + 0.03×Trucking,0.9994,85
FB,Blocking - FB,OVR = -26.8 + 0.11×Lead Block + 0.02×Man Coverage + 0.12×Pass Block + 0.61×RBP + 0.55×Toughness,0.9715,6
FB,Utility - FB,OVR = -26.6 + 0.84×BCV + 0.11×Lead Block + 0.07×Run Block + 0.07×Spin Move + 0.21×Stamina + 0.03×Stiff Arm + 0.03×Trucking,1.0,7
HB,Elusive Back - HB,OVR = -132.0 + 0.29×Accel + 0.29×Agility + 0.29×Awareness + 0.25×BCV + 0.13×Break Tackle + 0.27×Carrying + 0.02×Catching + 0.20×COD - 0.01×Impact Block + 0.21×Juke Move + 0.01×Lead Block + 0.01×RBF - 0.01×Run Block + 0.35×Speed + 0.19×Spin Move - 0.01×Toughness,0.9993,111
HB,Power Back - HB,OVR = -125.1 + 0.22×Accel + 0.11×Agility + 0.25×Awareness + 0.20×BCV + 0.28×Break Tackle + 0.32×Carrying + 0.01×COD + 0.01×Hit Power + 0.03×Injury + 0.03×Juke Move + 0.19×Speed + 0.25×Stiff Arm + 0.19×Strength + 0.30×Trucking,0.9997,37
C,Agile - C,OVR = -44.8 + 0.03×Accel + 0.02×Agility + 0.25×Awareness + 0.02×Finesse Moves + 0.09×Impact Block + 0.12×Lead Block + 0.34×PBF + 0.08×Pass Block + 0.09×Play Action + 0.30×RBF + 0.06×RBP + 0.09×Run Block + 0.05×Speed + 0.14×Strength - 0.06×Toughness - 0.02×Zone Coverage,0.9993,46
